
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (1, 1, '08:00', '13:00')
dayShiftList : (8, 5, '12:00', '21:00')
dayShiftList : (3, 5, '12:00', '21:00')
dayShiftList : (3, 5, '12:00', '18:00')
dayShiftList : (8, 5, '12:00', '21:00')
dayShiftList : (3, 5, '12:00', '21:00')
dayShiftList : (3, 5, '12:00', '18:00')
